K,X,Result,Time
0,0.0,0.24828288257492984,0.009630203247070312
1,0.01,0.34059902078346826,0.009393453598022461
2,0.02,0.3297174851092545,0.0095672607421875
3,0.03,0.3194673939819532,0.009274721145629883
4,0.04,0.342387383355698,0.008695840835571289
5,0.05,0.33990015820155034,0.008992910385131836
6,0.06,0.2950928915844741,0.008346796035766602
7,0.07,0.30403048294614143,0.008343696594238281
8,0.08,0.37099400004559335,0.008710145950317383
9,0.09,0.3723660823459608,0.008567094802856445
10,0.1,0.28730432873999684,0.008309125900268555
11,0.11,0.325431167575434,0.009308576583862305
12,0.12,0.35336815065498917,0.009655952453613281
13,0.13,0.2927766624992263,0.009949922561645508
14,0.14,0.28867526317145475,0.009360313415527344
15,0.15,0.34492500291017025,0.009593963623046875
16,0.16,0.33659704105687327,0.009941816329956055
17,0.17,0.3438844344658504,0.009454011917114258
18,0.18,0.2929672963407377,0.009859561920166016
19,0.19,0.31459024922098444,0.009076356887817383
20,0.2,0.315183053663555,0.00921487808227539
21,0.21,0.30679151195600474,0.009883642196655273
22,0.22,0.31218288576555814,0.009406805038452148
23,0.23,0.3720772604693342,0.009697675704956055
24,0.24,0.3418529813637235,0.009611368179321289
25,0.25,0.3493965997912284,0.009168148040771484
26,0.26,0.3335369758870774,0.011320114135742188
27,0.27,0.3403930018223948,0.009594917297363281
28,0.28,0.31634575857960334,0.009182214736938477
29,0.29,0.30449857659378415,0.009844541549682617
30,0.3,0.3388568877346825,0.00901651382446289
31,0.31,0.3731319965805235,0.009492158889770508
32,0.32,0.37625519022757725,0.009317874908447266
33,0.33,0.3695378535760087,0.00983738899230957
34,0.34,0.36553012900202164,0.00950479507446289
35,0.35000000000000003,0.3599423152485646,0.009908437728881836
36,0.36,0.3290397744716288,0.00922536849975586
37,0.37,0.35179723663767354,0.009373188018798828
38,0.38,0.32658438368704623,0.009317636489868164
39,0.39,0.3437545259570639,0.008936166763305664
40,0.4,0.3281410134029236,0.009908199310302734
41,0.41000000000000003,0.3141001979491581,0.010526895523071289
42,0.42,0.31704244676616866,0.009222745895385742
43,0.43,0.36488009251349524,0.009913206100463867
44,0.44,0.35321622311033135,0.009488821029663086
45,0.45,0.34762673099671965,0.00925898551940918
46,0.46,0.29559397925843434,0.009644269943237305
47,0.47000000000000003,0.36397574982434855,0.009466171264648438
48,0.48,0.36786549554268355,0.009432077407836914
49,0.49,0.34497196057728907,0.010061502456665039
50,0.5,0.32654325023221487,0.009222030639648438
51,0.51,0.34019925954970853,0.009257078170776367
52,0.52,0.37166255787732455,0.009830236434936523
53,0.53,0.3591379835521124,0.009458541870117188
54,0.54,0.34840641960618846,0.009214639663696289
55,0.55,0.3411342660753316,0.009974241256713867
56,0.56,0.3139683004407837,0.009658575057983398
57,0.5700000000000001,0.3399738731984081,0.009708166122436523
58,0.58,0.3903273870449759,0.009511947631835938
59,0.59,0.40249825792962407,0.009359121322631836
60,0.6,0.32162534804717213,0.009503841400146484
61,0.61,0.33584988039466224,0.009725093841552734
62,0.62,0.36369408813638937,0.00934147834777832
63,0.63,0.3423336473691586,0.00921010971069336
64,0.64,0.3364108948095832,0.009631156921386719
65,0.65,0.35775653193030515,0.009505748748779297
66,0.66,0.3413354623474001,0.009085655212402344
67,0.67,0.35815794664470796,0.009951591491699219
68,0.68,0.35153714014645165,0.00931859016418457
69,0.6900000000000001,0.402600819100018,0.009719610214233398
70,0.7000000000000001,0.2801110659843053,0.009735345840454102
71,0.71,0.35457772590397413,0.009469985961914062
72,0.72,0.3473868101500546,0.010056257247924805
73,0.73,0.34404946300056094,0.009093523025512695
74,0.74,0.33475598731491096,0.009728431701660156
75,0.75,0.338971230279529,0.009396791458129883
76,0.76,0.41840372117818014,0.010192394256591797
77,0.77,0.3604404151030352,0.010035991668701172
78,0.78,0.39169591991762,0.010300874710083008
79,0.79,0.34401108439217964,0.009976863861083984
80,0.8,0.3117624198862915,0.010373592376708984
81,0.81,0.44204967205089013,0.009364604949951172
82,0.8200000000000001,0.31041689143224716,0.009833335876464844
83,0.8300000000000001,0.3823507547308473,0.010219812393188477
84,0.84,0.3203300102581028,0.00998067855834961
85,0.85,0.35313639366935673,0.010185003280639648
86,0.86,0.34358292100480997,0.0093841552734375
87,0.87,0.3751351304390597,0.009904861450195312
88,0.88,0.3113174231920423,0.009407997131347656
89,0.89,0.3437691929108211,0.01000523567199707
90,0.9,0.3458089964301465,0.010510444641113281
91,0.91,0.33249463935770035,0.009479284286499023
92,0.92,0.35690269776052214,0.008948802947998047
93,0.93,0.3778285529241161,0.009283065795898438
94,0.9400000000000001,0.433141727667367,0.009477615356445312
95,0.9500000000000001,0.3737705272855751,0.009065389633178711
96,0.96,0.3858282541521944,0.009533166885375977
97,0.97,0.3699329536646846,0.009534835815429688
98,0.98,0.37158293919152724,0.009527444839477539
99,0.99,0.3650451597972001,0.009437799453735352
